academic_year,assignments,attendance,course_id,course_name,email,final,final_grade,letter_grade,major,midterm,name,semester,student_id,trait
2021/2022,9.0,57.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),huynhxuankienbd21ai001@gmail.com,9.2,8.5,A,Khoa AI - Khóa 21,9.5,Huỳnh Xuân Kiên,1,BD21AI001,talented_but_lazy
2021/2022,9.4,95.7,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),phamvanbinhbd21ai002@gmail.com,9.0,9.2,A,Khoa AI - Khóa 21,9.6,Phạm Văn Bình,1,BD21AI002,excellent
2021/2022,6.7,88.7,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),đangvannambd21ai003@gmail.com,5.7,6.6,C,Khoa AI - Khóa 21,7.9,Đặng Văn Nam,1,BD21AI003,average
2021/2022,7.1,49.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranngocanbd21ai004@gmail.com,9.1,7.7,B,Khoa AI - Khóa 21,9.1,Trần Ngọc An,1,BD21AI004,talented_but_lazy
2021/2022,9.6,96.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongkimcuongbd21ai005@gmail.com,3.9,6.7,C,Khoa AI - Khóa 21,5.0,Dương Kim Cường,1,BD21AI005,diligent_but_low
2021/2022,9.8,96.8,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),vukimsonbd21ai006@gmail.com,3.5,6.6,C,Khoa AI - Khóa 21,3.2,Vũ Kim Sơn,1,BD21AI006,diligent_but_low
2021/2022,7.5,45.2,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),huynhđucdungbd21ai007@gmail.com,9.5,7.9,B,Khoa AI - Khóa 21,10.0,Huỳnh Đức Dũng,1,BD21AI007,talented_but_lazy
2021/2022,9.9,96.8,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranquangquanbd21ai008@gmail.com,9.9,9.8,A,Khoa AI - Khóa 21,9.6,Trần Quang Quân,1,BD21AI008,excellent
2021/2022,7.4,88.9,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),đohailoibd21ai009@gmail.com,5.5,6.8,C,Khoa AI - Khóa 21,8.0,Đỗ Hải Lợi,1,BD21AI009,average
2021/2022,7.9,43.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buithanhlinhbd21ai010@gmail.com,8.7,7.6,B,Khoa AI - Khóa 21,10.0,Bùi Thành Linh,1,BD21AI010,talented_but_lazy
2021/2022,4.2,51.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),lyvanphucbd21ai011@gmail.com,3.9,4.2,D,Khoa AI - Khóa 21,1.9,Lý Văn Phúc,1,BD21AI011,struggling
2021/2022,9.6,97.4,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),phanđucsonbd21ai012@gmail.com,10.0,9.8,A,Khoa AI - Khóa 21,9.9,Phan Đức Sơn,1,BD21AI012,excellent
